original_met_name,llm_queries,chosen_kegg_cpd,confidence,mapping_score,evidence_line,n_reactions,n_enzymes,n_pathways
2-hydroxyphenylacetate,2-hydroxyphenylacetate; hydroxyphenylacetate; 2-hydroxyphenylacetic acid,cpd:C05852,low,1.0,Query '2-hydroxyphenylacetate' -> cpd:C05852: 2-Hydroxyphenylacetate; 2-Hydroxyphenylacetic acid,4,2,4
3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate; (hydroxyphenyl)lactate; 3-(4-hydroxyphenyl)lactic acid,cpd:C03672,low,1.0,Query '3-(4-hydroxyphenyl)lactate' -> cpd:C03672: 3-(4-Hydroxyphenyl)lactate; 4-Hydroxyphenyllactate; p-Hydroxyphenyllactate; 2-Hydroxy-3-(4-hydroxyph,0,0,0
phenylpyruvate,phenylpyruvate; phenylpyruvic acid,cpd:C00166,low,1.0,Query 'phenylpyruvate' -> cpd:C00166: Phenylpyruvate; Phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; 3-Phenyl-2-ox,25,21,9
beta-alanine,beta-alanine; alanine,cpd:C00099,low,1.0,Query 'beta-alanine' -> cpd:C00099: beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate,26,20,9
biliverdin,biliverdin,cpd:C00500,low,1.0,Query 'biliverdin' -> cpd:C00500: Biliverdin; Biliverdin IX alpha,10,8,3
succinate,succinate; succinic acid,cpd:C00042,low,1.0,Query 'succinate' -> cpd:C00042: Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid,197,18,32
3-hydroxybutyrate (BHBA),3-hydroxybutyrate (bhba); hydroxybutyrate (bhba); 3-hydroxybutyric acid (bhba),,low,0.0,,0,0,0
cholesterol,cholesterol,cpd:C00187,low,1.0,Query 'cholesterol' -> cpd:C00187: Cholesterol; Cholest-5-en-3beta-ol,23,17,22
choline phosphate,choline phosphate; choline phosphic acid,cpd:C00588,low,1.0,Query 'choline phosphate' -> cpd:C00588: Choline phosphate; Phosphorylcholine; Phosphocholine; O-Phosphocholine,8,8,4
corticosterone,corticosterone,cpd:C02140,low,1.0,"Query 'corticosterone' -> cpd:C02140: Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substa",6,5,5
cortisone,cortisone,cpd:C00762,low,1.0,"Query 'cortisone' -> cpd:C00762: Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substa",4,3,6
creatinine,creatinine,cpd:C00791,low,1.0,Query 'creatinine' -> cpd:C00791: Creatinine; 1-Methylglycocyamidine,3,2,2
cysteinylglycine,cysteinylglycine,cpd:C05729,low,0.7,Query 'cysteinylglycine' -> cpd:C05729: R-S-Cysteinylglycine; [L-Cysteinylglycine]-S-conjugate,3,5,2
cystine,cystine,cpd:C01420,low,1.0,Query 'cystine' -> cpd:C01420: Cystine; Dicysteine; alpha-Diamino-beta-dithiolactic acid,1,1,0
sphingosine,sphingosine,cpd:C00319,low,1.0,Query 'sphingosine' -> cpd:C00319: Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine,10,13,5
deoxycholate,deoxycholate; deoxycholic acid,cpd:C04483,low,0.9,"Query 'deoxycholate' -> cpd:C04483: Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanate; 3alpha,12alpha-Dihydroxy-5",5,2,2
cystathionine,cystathionine,cpd:C00542,low,1.0,Query 'cystathionine' -> cpd:C00542: Cystathionine,2,2,0
sphinganine,sphinganine,cpd:C00836,low,1.0,"Query 'sphinganine' -> cpd:C00836: Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane",7,10,4
behenate (22:0)*,behenate (22:0)*; behenate (22:0); behenic acid (22:0)*,,low,0.0,,0,0,0
fumarate,fumarate; fumaric acid,cpd:C00122,low,1.0,Query 'fumarate' -> cpd:C00122: Fumarate; Fumaric acid; trans-Butenedioic acid,23,16,29
gamma-glutamylglutamate,gamma-glutamylglutamate; glutamylglutamate; gamma-glutamylglutamic acid,cpd:C20776,low,0.7,Query 'glutamylglutamate' -> cpd:C20776: N-Acetylaspartylglutamylglutamate; N-Acetyl-L-aspartyl-L-glutamyl-L-glutamate; NAAG2,3,2,2
glutarate (C5-DC),glutarate (c5-dc); glutarate (cdc); glutaric acid (c5-dc),,low,0.0,,0,0,0
glycine,glycine,cpd:C00037,low,1.0,Query 'glycine' -> cpd:C00037: Glycine; Aminoacetic acid; Gly,77,25,31
glycocholate,glycocholate; glycocholic acid,cpd:C01921,low,1.0,"Query 'glycocholate' -> cpd:C01921: Glycocholate; Glycocholic acid; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholan-24-oylglycine",2,2,5
guanidinoacetate,guanidinoacetate; guanidinoacetic acid,cpd:C00581,low,1.0,Query 'guanidinoacetate' -> cpd:C00581: Guanidinoacetate; Guanidinoacetic acid; Glycocyamine; N-Amidinoglycine; Guanidoacetic acid,4,4,3
histidine,histidine,cpd:C00768,low,1.0,Query 'histidine' -> cpd:C00768: Histidine; alpha-Amino-1H-imidazole-4-propionic acid,0,0,0
cortisol,cortisol,cpd:C00735,low,1.0,"Query 'cortisol' -> cpd:C00735: Cortisol; Hydrocortisone; 11beta,17alpha,21-Trihydroxy-4-pregnene-3,20-dione; Kendall's compound F; ",9,9,10
hypotaurine,hypotaurine,cpd:C00519,low,1.0,Query 'hypotaurine' -> cpd:C00519: Hypotaurine; 2-Aminoethanesulfinic acid,3,3,2
inosine,inosine,cpd:C00294,low,1.0,Query 'inosine' -> cpd:C00294: Inosine,8,9,4
myo-inositol,myo-inositol,cpd:C00137,low,1.0,Query 'myo-inositol' -> cpd:C00137: myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inosi,21,14,10
isoleucine,isoleucine,cpd:C16434,low,1.0,Query 'isoleucine' -> cpd:C16434: Isoleucine,0,0,0
2-aminoadipate,2-aminoadipate; aminoadipate; 2-aminoadipic acid,cpd:C00956,low,0.7,Query '2-aminoadipate' -> cpd:C00956: L-2-Aminoadipate; L-alpha-Aminoadipate; L-alpha-Aminoadipic acid; L-2-Aminoadipic acid; L-2-Aminohex,12,6,8
3-sulfo-alanine,3-sulfo-alanine; sulfo-alanine,,low,0.0,,0,0,0
citrulline,citrulline,cpd:C00327,low,0.9,Query 'citrulline' -> cpd:C00327: L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline,12,8,4
leucine,leucine,cpd:C16439,low,1.0,Query 'leucine' -> cpd:C16439: Leucine,0,0,0
lithocholate,lithocholate; lithocholic acid,cpd:C03990,low,0.9,Query 'lithocholate' -> cpd:C03990: Lithocholic acid; Lithocholate; 3alpha-Hydroxy-5beta-cholanate; 3alpha-Hydroxy-5beta-cholanic acid,6,5,2
lysine,lysine,cpd:C16440,low,1.0,Query 'lysine' -> cpd:C16440: Lysine,0,0,0
malate,malate; malic acid,cpd:C00149,low,0.9,Query 'malate' -> cpd:C00149: (S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid,15,15,25
methionine,methionine,cpd:C00073,low,0.9,Query 'methionine' -> cpd:C00073: L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid,91,21,23
methylmalonate (MMA),methylmalonate (mma); methylmalonic acid (mma),,low,0.0,,0,0,0
palmitate (16:0),palmitate (16:0); palmitic acid (16:0),,low,0.0,,0,0,0
nicotinamide,nicotinamide,cpd:C00153,low,1.0,Query 'nicotinamide' -> cpd:C00153: Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP,19,17,5
pelargonate (9:0),pelargonate (9:0); pelargonic acid (9:0),,low,0.0,,0,0,0
stearate (18:0),stearate (18:0); stearic acid (18:0),,low,0.0,,0,0,0
ornithine,ornithine,cpd:C01602,low,1.0,"Query 'ornithine' -> cpd:C01602: Ornithine; 2,5-Diaminovaleric acid; 2,5-Diaminopentanoic acid; 2,5-Diaminopentanoate",1,0,0
orotate,orotate; orotic acid,cpd:C00295,low,1.0,Query 'orotate' -> cpd:C00295: Orotate; Orotic acid; Uracil-6-carboxylic acid,5,5,3
palmitoleate (16:1n7),palmitoleate (16:1n7); palmitoleic acid (16:1n7),,low,0.0,,0,0,0
phenylalanine,phenylalanine,cpd:C02057,low,1.0,Query 'phenylalanine' -> cpd:C02057: Phenylalanine; alpha-Amino-beta-phenylpropionic acid,0,0,0
phosphate,phosphate; phosphic acid,cpd:C00009,low,0.9,Query 'phosphate' -> cpd:C00009: Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid,620,22,10
proline,proline,cpd:C16435,low,1.0,Query 'proline' -> cpd:C16435: Proline,0,0,0
lactate,lactate; lactic acid,cpd:C01432,low,1.0,Query 'lactate' -> cpd:C01432: Lactate; Lactic acid; 2-Hydroxypropanoic acid; 2-Hydroxypropionic acid,4,2,0
pyridoxal,pyridoxal,cpd:C00250,low,1.0,Query 'pyridoxal' -> cpd:C00250: Pyridoxal,10,11,5
retinol (vitamin A),retinol (vitamin a),,low,0.0,,0,0,0
serine,serine,cpd:C00065,low,0.9,Query 'serine' -> cpd:C00065: L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine,43,19,28
serotonin,serotonin,cpd:C00780,low,1.0,Query 'serotonin' -> cpd:C00780: Serotonin; 3-(2-Aminoethyl)-1H-indol-5-ol; 5-Hydroxytryptamine; Enteramine,7,6,16
spermine,spermine,cpd:C00750,low,1.0,"Query 'spermine' -> cpd:C00750: Spermine; N,N'-Bis(3-aminopropyl)-1,4-butanediamine",3,4,7
taurine,taurine,cpd:C00245,low,1.0,Query 'taurine' -> cpd:C00245: Taurine; 2-Aminoethanesulfonic acid; Aminoethylsulfonic acid,15,13,6
myristate (14:0),myristate (14:0); myristic acid (14:0),,low,0.0,,0,0,0
urea,urea,cpd:C00086,low,1.0,Query 'urea' -> cpd:C00086: Urea; Carbamide,25,19,11
uridine,uridine,cpd:C00299,low,1.0,Query 'uridine' -> cpd:C00299: Uridine,8,10,4
2'-deoxyuridine,2'-deoxyuridine,cpd:C00526,low,0.9,Query '2'-deoxyuridine' -> cpd:C00526: Deoxyuridine; 2-Deoxyuridine; 2'-Deoxyuridine,6,10,4
trans-urocanate,trans-urocanate; urocanate; trans-urocanic acid,cpd:C00785,low,1.0,Query 'urocanate' -> cpd:C00785: Urocanate; Urocanic acid,3,3,3
glutamate,glutamate; glutamic acid,cpd:C00025,low,0.9,Query 'glutamate' -> cpd:C00025: L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate,215,30,54
glutamine,glutamine,cpd:C00303,low,1.0,Query 'glutamine' -> cpd:C00303: Glutamine; 2-Aminoglutaramic acid,0,0,0
threonine,threonine,cpd:C00188,low,0.7,Query 'threonine' -> cpd:C00188: L-Threonine; 2-Amino-3-hydroxybutyric acid,15,11,14
tryptophan,tryptophan,cpd:C00078,low,0.9,Query 'tryptophan' -> cpd:C00078: L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid,44,19,25
valine,valine,cpd:C16436,low,1.0,Query 'valine' -> cpd:C16436: Valine,0,0,0
glucose,glucose,cpd:C00031,low,0.9,Query 'glucose' -> cpd:C00031: D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose,132,24,35
alpha-ketobutyrate,alpha-ketobutyrate; ketobutyrate; alpha-ketobutyric acid,cpd:C00109,low,0.9,Query 'alpha-ketobutyrate' -> cpd:C00109: 2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Keto,23,14,9
adenosine,adenosine,cpd:C00212,low,1.0,Query 'adenosine' -> cpd:C00212: Adenosine,12,12,16
betaine,betaine,cpd:C00719,low,1.0,"Query 'betaine' -> cpd:C00719: Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate",13,11,5
cysteine,cysteine,cpd:C00736,low,1.0,Query 'cysteine' -> cpd:C00736: Cysteine; 2-Amino-3-mercaptopropionic acid,3,2,0
mannose,mannose,cpd:C00159,low,0.9,Query 'mannose' -> cpd:C00159: D-Mannose; Mannose; Seminose; Carubinose; D-Mannopyranose,28,14,9
dimethylglycine,dimethylglycine,cpd:C01026,low,0.9,"Query 'dimethylglycine' -> cpd:C01026: N,N-Dimethylglycine; Dimethylglycine",9,10,4
alanine,alanine,cpd:C01401,low,1.0,Query 'alanine' -> cpd:C01401: Alanine; 2-Aminopropionic acid; 2-Aminopropanoic acid,2,1,2
tyrosine,tyrosine,cpd:C00082,low,0.9,Query 'tyrosine' -> cpd:C00082: L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine,42,24,35
malonate,malonate; malonic acid,cpd:C00383,low,1.0,Query 'malonate' -> cpd:C00383: Malonate; Malonic acid; Propanedioic acid,7,6,5
pseudouridine,pseudouridine,cpd:C02067,low,1.0,Query 'pseudouridine' -> cpd:C02067: Pseudouridine,2,2,2
pyruvate,pyruvate; pyruvic acid,cpd:C00022,low,1.0,Query 'pyruvate' -> cpd:C00022: Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid,211,23,62
uracil,uracil,cpd:C00106,low,1.0,Query 'uracil' -> cpd:C00106: Uracil,18,18,5
cytidine,cytidine,cpd:C00475,low,1.0,Query 'cytidine' -> cpd:C00475: Cytidine,8,9,4
fructose,fructose,cpd:C01496,low,1.0,Query 'fructose' -> cpd:C01496: Fructose; arabino-Hexulose,0,0,0
adenine,adenine,cpd:C00147,low,1.0,Query 'adenine' -> cpd:C00147: Adenine; 6-Aminopurine,19,17,5
cytosine,cytosine,cpd:C00380,low,1.0,Query 'cytosine' -> cpd:C00380: Cytosine,5,5,3
caprate (10:0),caprate (10:0); capric acid (10:0),,low,0.0,,0,0,0
undecanoate (11:0),undecanoate (11:0); undecanoic acid (11:0),,low,0.0,,0,0,0
margarate (17:0),margarate (17:0); margaric acid (17:0),,low,0.0,,0,0,0
nonadecanoate (19:0),nonadecanoate (19:0); nonadecanoic acid (19:0),,low,0.0,,0,0,0
arachidate (20:0),arachidate (20:0); arachidic acid (20:0),,low,0.0,,0,0,0
maltose,maltose,cpd:C00208,low,1.0,Query 'maltose' -> cpd:C00208: Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose,11,12,8
ribose,ribose,cpd:C08353,low,0.9,Query 'ribose' -> cpd:C08353: beta-D-Ribopyranose; Ribose,1,1,0
asparagine,asparagine,cpd:C16438,low,1.0,Query 'asparagine' -> cpd:C16438: Asparagine,0,0,0
N-stearoyl-sphinganine (d18:0/18:0)*,n-stearoyl-sphinganine (d18:0/18:0)*; stearoyl-sphinganine (d18:0/18:0)*; n-stearoyl-sphinganine (d18:0/18:0),,low,0.0,,0,0,0
dihydroorotate,dihydroorotate; dihydroorotic acid,cpd:C00337,low,0.7,"Query 'dihydroorotate' -> cpd:C00337: (S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic",5,5,3
heptanoate (7:0),heptanoate (7:0); heptanoic acid (7:0),,low,0.0,,0,0,0
caproate (6:0),caproate (6:0); caproic acid (6:0),,low,0.0,,0,0,0
caprylate (8:0),caprylate (8:0); caprylic acid (8:0),,low,0.0,,0,0,0
sucrose,sucrose,cpd:C00089,low,1.0,Query 'sucrose' -> cpd:C00089: Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,24,20,8
pentadecanoate (15:0),pentadecanoate (15:0); pentadecanoic acid (15:0),,low,0.0,,0,0,0
trans-4-hydroxyproline,trans-4-hydroxyproline; 4-hydroxyproline; trans-hydroxyproline,cpd:C20705,low,0.7,"Query '4-hydroxyproline' -> cpd:C20705: 4-O-(beta-L-Arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-",1,1,0
allantoin,allantoin,cpd:C01551,low,1.0,Query 'allantoin' -> cpd:C01551: Allantoin; 5-Ureidohydantoin; Glyoxyldiureide,0,0,0
xanthine,xanthine,cpd:C00385,low,1.0,Query 'xanthine' -> cpd:C00385: Xanthine,17,11,8
5-oxoproline,5-oxoproline; oxoproline,cpd:C01879,low,1.0,Query '5-oxoproline' -> cpd:C01879: 5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo,6,5,3
sarcosine,sarcosine,cpd:C00213,low,1.0,Query 'sarcosine' -> cpd:C00213: Sarcosine; N-Methylglycine,14,14,4
pantothenate,pantothenate; pantothenic acid,cpd:C00864,low,1.0,Query 'pantothenate' -> cpd:C00864: Pantothenate; Pantothenic acid; (R)-Pantothenate,8,5,6
pipecolate,pipecolate; pipecolic acid,cpd:C00408,low,0.9,Query 'pipecolic acid' -> cpd:C00408: L-Pipecolate; Pipecolinic acid; Pipecolic acid; 2-Piperidinecarboxylic acid; (S)-Piperidine-2-carbox,10,6,7
phosphoethanolamine,phosphoethanolamine,cpd:C00346,low,0.9,Query 'phosphoethanolamine' -> cpd:C00346: Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine,12,9,6
glycerate,glycerate; glyceric acid,cpd:C00258,low,0.9,Query 'glycerate' -> cpd:C00258: D-Glycerate; Glycerate; (R)-Glycerate; Glyceric acid,21,19,9
3-ureidopropionate,3-ureidopropionate; ureidopropionate; 3-ureidopropionic acid,cpd:C02642,low,1.0,Query '3-ureidopropionate' -> cpd:C02642: 3-Ureidopropionate; 3-Ureidopropanoate; beta-Ureidopropionic acid; N-Carbamoyl-beta-alanine,2,2,4
N-acetylleucine,n-acetylleucine; acetylleucine,,low,0.0,,0,0,0
N-acetylmethionine,n-acetylmethionine; acetylmethionine,cpd:C02712,low,1.0,Query 'n-acetylmethionine' -> cpd:C02712: N-Acetylmethionine; N-Acetyl-L-methionine,0,0,0
N-acetylvaline,n-acetylvaline; acetylvaline,,low,0.0,,0,0,0
erucate (22:1n9),erucate (22:1n9); erucic acid (22:1n9),,low,0.0,,0,0,0
"bilirubin (Z,Z)","bilirubin (z,z)",,low,0.0,,0,0,0
thyroxine,thyroxine,cpd:C01829,low,1.0,"Query 'thyroxine' -> cpd:C01829: Thyroxine; Levothyroxin; L-Thyroxine; O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; 3,5,3'5'-",4,3,8
guanosine,guanosine,cpd:C00387,low,1.0,Query 'guanosine' -> cpd:C00387: Guanosine,6,7,4
gamma-glutamyltyrosine,gamma-glutamyltyrosine; glutamyltyrosine,,low,0.0,,0,0,0
alpha-tocopherol,alpha-tocopherol; tocopherol,cpd:C02477,low,1.0,Query 'alpha-tocopherol' -> cpd:C02477: alpha-Tocopherol; Vitamin E,2,1,7
N-acetylalanine,n-acetylalanine; acetylalanine,,low,0.0,,0,0,0
vanillylmandelate (VMA),vanillylmandelate (vma); vanillylmandelic acid (vma),,low,0.0,,0,0,0
4-acetamidobutanoate,4-acetamidobutanoate; acetamidobutanoate; 4-acetamidobutanoic acid,cpd:C02946,low,1.0,Query '4-acetamidobutanoate' -> cpd:C02946: 4-Acetamidobutanoate; N4-Acetylaminobutanoate,2,2,2
3-aminoisobutyrate,3-aminoisobutyrate; aminoisobutyrate; 3-aminoisobutyric acid,cpd:C05145,low,1.0,Query '3-aminoisobutyric acid' -> cpd:C05145: 3-Aminoisobutyric acid; 3-Aminoisobutanoate; 3-Amino-2-methylpropanoate,0,0,0
chenodeoxycholate,chenodeoxycholate; chenodeoxycholic acid,cpd:C02528,low,1.0,"Query 'chenodeoxycholate' -> cpd:C02528: Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol",6,5,4
citrate,citrate; citric acid,cpd:C00158,low,1.0,"Query 'citrate' -> cpd:C00158: Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid",17,14,24
"5,6-dihydrouracil","5,6-dihydrouracil; 5,dihydrouracil",,low,0.0,,0,0,0
2-aminobutyrate,2-aminobutyrate; aminobutyrate; 2-aminobutyric acid,cpd:C02261,low,0.7,Query '2-aminobutyrate' -> cpd:C02261: D-2-Aminobutyrate; D-2-Aminobutyric acid; D-2-Aminobutanoic acid; (R)-2-Aminobutanoic acid,0,0,0
urate,urate; uric acid,cpd:C00366,low,1.0,Query 'urate' -> cpd:C00366: Urate; Uric acid,7,7,4
ursodeoxycholate,ursodeoxycholate; ursodeoxycholic acid,cpd:C07880,low,0.9,"Query 'ursodeoxycholate' -> cpd:C07880: Ursodiol; Ursodeoxycholic acid; Ursodeoxycholate; 3alpha,7beta-Dihydroxy-5beta-cholan-24-oic acid",0,0,1
valerate (5:0),valerate (5:0); valeric acid (5:0),,low,0.0,,0,0,0
oleoyl ethanolamide,oleoyl ethanolamide,cpd:C20792,low,0.1,Query 'oleoyl ethanolamide' -> cpd:C20792: Oleoylethanolamide; OEA,0,0,1
gamma-glutamylglutamine,gamma-glutamylglutamine; glutamylglutamine,,low,0.0,,0,0,0
4-hydroxyphenylpyruvate,4-hydroxyphenylpyruvate; hydroxyphenylpyruvate; 4-hydroxyphenylpyruvic acid,cpd:C01179,low,0.9,Query '4-hydroxyphenylpyruvate' -> cpd:C01179: 3-(4-Hydroxyphenyl)pyruvate; 4-Hydroxyphenylpyruvate; p-Hydroxyphenylpyruvic acid,19,19,15
butyrate/isobutyrate (4:0),butyrate/isobutyrate (4:0); butyric acid/isobutyric acid (4:0),,low,0.0,,0,0,0
tigloylglycine,tigloylglycine,,low,0.0,,0,0,0
N-acetylneuraminate,n-acetylneuraminate; acetylneuraminate; n-acetylneuraminic acid,cpd:C00270,low,1.0,"Query 'n-acetylneuraminate' -> cpd:C00270: N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonuloso",22,8,3
isocitrate,isocitrate; isocitric acid,cpd:C00311,low,1.0,"Query 'isocitrate' -> cpd:C00311: Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid",7,6,20
