metabolite,importance_score,importance_std,selection_frequency
nisinate (24:6n3),1.3253930938132246e-06,8.649065657209164e-07,3
(R)-3-hydroxybutyrylcarnitine,1.3197088585435057e-06,8.470604309289378e-07,3
N-formylanthranilic acid,1.3194048499597662e-06,7.94852282014129e-07,3
glycocholate,1.3188328774574833e-06,8.606308871463079e-07,3
1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*,1.3188199474984251e-06,8.247392695193711e-07,3
1-oleoyl-GPA (18:1),1.3169768630299444e-06,8.391576808068097e-07,3
1-oleoyl-GPG (18:1)*,1.3169450739498312e-06,8.594206719953002e-07,3
hexadecenedioate (C16:1-DC)*,1.312046627979996e-06,8.006370111294899e-07,3
1-linolenoyl-GPC (18:3)*,1.3101221983370916e-06,8.945163505338989e-07,3
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,1.3091721295552143e-06,8.594836731875791e-07,3
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,1.3080115073899675e-06,8.002365120274358e-07,3
alpha-ketobutyrate,1.3069884013600304e-06,7.970960735008869e-07,2
cytidine,1.306092710092476e-06,9.908198639210127e-07,2
"fibrinopeptide A, phosphono-ser(3)*",1.305005510658601e-06,8.944033556888415e-07,2
1-stearoyl-GPG (18:0),1.3047917644006391e-06,8.238369063903642e-07,3
eicosapentaenoylcholine,1.3046479890346694e-06,8.435689792476367e-07,3
branched chain 14:0 dicarboxylic acid**,1.3043044654778468e-06,7.858534899419962e-07,3
8-methoxykynurenate,1.3026098641512998e-06,8.261113968796412e-07,3
ascorbate (vitamin C),1.3003812798105686e-06,8.42148668260019e-07,3
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",1.3000506466904061e-06,8.413868324275693e-07,3
glucuronide of C12H22O4 (2)*,1.2996066760323292e-06,8.438041055334253e-07,3
valylleucine,1.29873884136606e-06,9.001561863779467e-07,2
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,1.2986505051336979e-06,8.650384821669249e-07,3
phenylalanine,1.2967404014113877e-06,7.928694446275839e-07,3
3-sulfo-alanine,1.2960583104643923e-06,9.024618758006239e-07,3
3beta-hydroxy-5-cholestenoate,1.2956518208622544e-06,9.177413196554346e-07,2
sphingomyelin (d18:2/24:2)*,1.2939601217282115e-06,8.315642716098378e-07,3
erucate (22:1n9),1.2927058747906774e-06,8.884378047975812e-07,3
vanillic alcohol sulfate,1.2918828442220824e-06,9.10393522728223e-07,3
fructose,1.2917312923531628e-06,8.693145187782951e-07,3
"bilirubin degradation product, C17H20N2O5 (1)**",1.2915177477320052e-06,8.240510505941863e-07,3
"bilirubin degradation product, C17H20N2O5 (2)**",1.2895864897446266e-06,8.24925012901715e-07,3
"12,13-DiHOME",1.2892997546583346e-06,8.707614871335061e-07,3
11-ketoetiocholanolone glucuronide,1.2890321955250493e-06,8.664919402693087e-07,3
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1.2884550700223122e-06,8.45993338640332e-07,3
gentisate,1.2854233735122207e-06,8.43392497338243e-07,2
1-oleoyl-2-docosapentaenoyl-GPC (18:1/22:5n3)*,1.284555327821338e-06,7.793006527995373e-07,3
"2,3-dihydroxy-2-methylbutyrate",1.2842872694783257e-06,8.376406071929753e-07,3
gamma-glutamylisoleucine*,1.2835499042559467e-06,8.176117002370357e-07,3
1-pentadecanoyl-2-docosahexaenoyl-GPC (15:0/22:6)*,1.2819026152192886e-06,8.078448023111751e-07,3
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1.2816259703672003e-06,8.069983021904607e-07,3
3beta-hydroxy-5-cholenoate,1.2807625780383755e-06,8.173559773941676e-07,3
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,1.2803044915529646e-06,8.229716649143838e-07,3
13-HODE + 9-HODE,1.2793434029213174e-06,8.476621981833452e-07,3
docosahexaenoate (DHA; 22:6n3),1.2793403929043133e-06,8.457209718341246e-07,3
"androstenediol (3alpha, 17alpha) monosulfate (2)",1.2792668019962547e-06,7.936146624315302e-07,3
1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*,1.278439194320448e-06,7.786110058996042e-07,3
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),1.2772598046275454e-06,8.549481631769051e-07,3
cerotoylcarnitine (C26)*,1.277063590728507e-06,8.060902559542938e-07,3
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1.2769516347459568e-06,8.122465109560099e-07,3
hexadecanedioate (C16-DC),1.275920955486939e-06,7.903880139883715e-07,3
octadecanedioate (C18-DC),1.275674823935071e-06,8.644502084742967e-07,3
2-arachidonoyl-GPC (20:4)*,1.275504661602801e-06,8.154156774508108e-07,3
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1.2754241937096496e-06,8.226409158338237e-07,3
taurodeoxycholate,1.2717764331142669e-06,8.808210521282303e-07,3
3-(4-hydroxyphenyl)lactate,1.2714707674591856e-06,7.807378762664474e-07,3
N-palmitoyl-sphinganine (d18:0/16:0),1.2685311515381326e-06,7.837601240482027e-07,3
1-oleyl-GPC (O-18:1)*,1.2683373544311696e-06,8.162603438099914e-07,3
N-lactoyl phenylalanine,1.267078951958409e-06,7.700161868526868e-07,3
sphingomyelin (d18:2/18:1)*,1.2635346426267857e-06,7.889872753085153e-07,3
2-oxoarginine*,1.2632031548225012e-06,9.043640635641893e-07,2
pentose acid*,1.2612466732229578e-06,7.809196182822392e-07,3
4-oxo-retinoic acid,1.2588837593104547e-06,7.690141917528935e-07,3
behenoylcarnitine (C22)*,1.2564657460743144e-06,8.365231522171888e-07,3
N-lactoyl tyrosine,1.255968326348021e-06,7.932731455234766e-07,3
deoxycholate,1.2554613368621339e-06,8.806756861294886e-07,2
valine,1.2553339930311804e-06,7.098302256759174e-07,3
"3beta,7alpha-dihydroxy-5-cholestenoate",1.2552726754916573e-06,7.647746364290875e-07,3
N-lactoyl isoleucine,1.2535940803797254e-06,7.789251741662506e-07,3
"ceramide (d18:2/24:1, d18:1/24:2)*",1.2535403403063773e-06,7.750068213947135e-07,3
prolylglycine,1.2528707310461048e-06,8.263374971652276e-07,3
uridine,1.252531568763227e-06,8.43273607839201e-07,2
glucuronide of C12H22O4 (1)*,1.2504324738324308e-06,7.83799586371291e-07,3
1-arachidonoyl-GPI (20:4)*,1.249726355467006e-06,7.584296195057693e-07,3
lithocholate,1.2496055709313404e-06,8.786788336537193e-07,2
1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,1.2476899976716554e-06,8.137868208807502e-07,3
2-hydroxymyristate,1.2466217633147171e-06,8.331927496810501e-07,3
leukotriene B5,1.2455527920441622e-06,7.80712774534753e-07,3
1-palmitoyl-2-pentadecanoyl-GPC (16:0/15:0)*,1.2443320567226927e-06,7.780317966865714e-07,3
caprate (10:0),1.2427782937792827e-06,8.755809005306308e-07,3
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,1.2423853913803953e-06,7.289290502838812e-07,3
glycodeoxycholate,1.2359804798319917e-06,8.213101422277518e-07,3
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,1.233686765355151e-06,8.151678159445561e-07,3
1-eicosapentaenoylglycerol (20:5)*,1.2309042307563274e-06,8.187126133013718e-07,3
N-lactoyl valine,1.2300903715567082e-06,7.69916109004798e-07,3
15-HETE,1.2296502627445956e-06,8.807553522053167e-07,3
1-docosahexaenoyl-GPC (22:6)*,1.2292017325213447e-06,7.523290466568226e-07,3
glycodeoxycholate 3-sulfate,1.2278433264567568e-06,7.218185665002065e-07,3
isovalerylcarnitine (C5),1.2272103062986028e-06,7.288253848250842e-07,3
adrenoylcarnitine (C22:4)*,1.2264396487831763e-06,9.043479180880103e-07,3
1-linoleoyl-GPG (18:2)*,1.2257838577562414e-06,7.67325595916271e-07,3
1-methyl-5-imidazolelactate,1.224124678114827e-06,7.553751062248452e-07,3
"N1,N12-diacetylspermine",1.2240937920926277e-06,7.883617276025049e-07,3
glucuronide of C14H26O4 (1)*,1.2240072030645634e-06,7.886569644783293e-07,3
2-arachidonoyl-GPI (20:4)*,1.2236662556317253e-06,7.498053937584427e-07,3
octadecenedioylcarnitine (C18:1-DC)*,1.2235072594759779e-06,8.051929848548908e-07,3
1-methylnicotinamide,1.2230236068328372e-06,9.038474814751051e-07,3
methylmalonate (MMA),1.222453931392786e-06,7.247739482487725e-07,3
1-docosahexaenoyl-GPE (22:6)*,1.2220718385529076e-06,7.074071108239598e-07,3
1-palmityl-GPC (O-16:0),1.221993776884667e-06,7.243516751857584e-07,3
1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,1.2213786160477883e-06,8.631778893304845e-07,2
4-methoxyphenol sulfate,1.2205190473065003e-06,8.195520791334105e-07,3
adenosine,1.2193283283016235e-06,8.586515736582797e-07,2
1-linoleoyl-GPE (18:2)*,1.2191834419476802e-06,7.068213911362109e-07,3
tetradecanedioate (C14-DC),1.219054808586773e-06,8.13221429305311e-07,3
2-aminooctanoate,1.2168550689450474e-06,8.278156881855853e-07,3
campesterol,1.2165229501043879e-06,9.692842383142024e-07,2
"sphingomyelin (d18:1/20:1, d18:2/20:0)*",1.214019466506492e-06,7.757027095466698e-07,3
dopamine 4-sulfate,1.2137329099101392e-06,8.160114714079034e-07,3
3-hydroxystearate,1.212342884755489e-06,9.225337719207149e-07,2
1-palmitoyl-GPG (16:0)*,1.2113472055433132e-06,7.862117448506077e-07,3
malonate,1.211289409840676e-06,8.387865797101186e-07,3
dodecenedioate (C12:1-DC)*,1.2106828522196735e-06,7.478486748235584e-07,3
N-formylphenylalanine,1.2103511384372025e-06,8.363407251985833e-07,3
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),1.2098532569814892e-06,7.900218331317018e-07,2
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,1.2091173266976978e-06,7.162952894236317e-07,3
1-docosahexaenoylglycerol (22:6),1.2090887971852263e-06,8.077718254133312e-07,3
aconitate [cis or trans],1.2070918241789017e-06,7.499686698234958e-07,3
nonadecanoate (19:0),1.2067720437950162e-06,8.74221805019628e-07,2
dopamine 3-O-sulfate,1.2039886321710165e-06,7.794529114860976e-07,3
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*,1.2032686863149987e-06,6.572842903780225e-07,3
S-methylmethionine,1.202043549976941e-06,8.649616290011212e-07,2
imidazole propionate,1.197045261013151e-06,8.599942741623718e-07,2
2-ketocaprylate,1.1969763032867906e-06,7.891091218971003e-07,3
formiminoglutamate,1.1953885757529814e-06,7.558029492869812e-07,3
2-linoleoyl-GPE (18:2)*,1.1949101905676066e-06,7.245476403935632e-07,3
1-(1-enyl-stearoyl)-GPE (P-18:0)*,1.1943035717178044e-06,7.511556892403455e-07,3
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,1.1939760159429906e-06,7.010977398235412e-07,3
N-acetylkynurenine (2),1.192921551767678e-06,7.63609691853264e-07,3
gamma-glutamyltryptophan,1.1926751928950754e-06,7.72769252331034e-07,3
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,1.191041984897542e-06,8.076007969520762e-07,3
2-hydroxydecanoate,1.189887093432353e-06,8.224073233070708e-07,2
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),1.188421845913871e-06,7.720928180676277e-07,3
2-hydroxyarachidate*,1.1879013955525655e-06,7.75221406563508e-07,3
isobutyrylcarnitine (C4),1.1874980384831126e-06,7.749353753996938e-07,3
4-hydroxyglutamate,1.186614882934742e-06,8.6829187551509e-07,2
1-myristoyl-GPC (14:0),1.1853837316702795e-06,7.772745347697725e-07,3
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,1.1823222453546637e-06,7.871031377051946e-07,3
tryptophan betaine,1.1823041646175245e-06,6.986278374283073e-07,3
arachidate (20:0),1.1802249614344105e-06,7.822333057925273e-07,3
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),1.1797708672566736e-06,7.800336913601898e-07,3
tridecenedioate (C13:1-DC)*,1.1776957730886746e-06,7.778910101788441e-07,3
5-hydroxymethyl-2-furoic acid,1.1719573622752748e-06,8.266845086318442e-07,3
stearate (18:0),1.1687882851336212e-06,8.308523285880515e-07,3
eicosapentaenoate (EPA; 20:5n3),1.1675528948199112e-06,7.453325688312072e-07,3
N1-methyl-4-pyridone-3-carboxamide,1.1646425640174271e-06,7.407160513146094e-07,3
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",1.1623179337199981e-06,7.547827705936116e-07,3
gamma-glutamylphenylalanine,1.1609110703169755e-06,7.387357155527492e-07,3
2-O-methylascorbic acid,1.160560955471167e-06,7.099239618999612e-07,3
1-ribosyl-imidazoleacetate*,1.1602586394707444e-06,7.683241554387961e-07,3
4-hydroxyphenylpyruvate,1.1597149218969506e-06,7.772187021473003e-07,3
3-hydroxyisobutyrate,1.1582925983201334e-06,9.13377765653274e-07,3
3-hydroxydodecanedioate*,1.1578881328469308e-06,8.891431394984004e-07,3
"9,10-DiHOME",1.1560390342522673e-06,7.21100741593354e-07,3
"sphingomyelin (d18:1/18:1, d18:2/18:0)",1.1547386868782506e-06,6.945765196503182e-07,3
taurocholate,1.1541593867693392e-06,7.680453519489012e-07,3
3-methylhistidine,1.1535413822174846e-06,7.83206638458947e-07,2
glycerol,1.1530938283634253e-06,8.629345315616775e-07,3
delta-CEHC glucuronide,1.1511404397227697e-06,8.074887368890434e-07,3
fumarate,1.150483710296785e-06,8.334268573274037e-07,3
4-guanidinobutanoate,1.150117076624803e-06,8.125396932121599e-07,2
N1-methyl-2-pyridone-5-carboxamide,1.1469991466649648e-06,8.034970483663141e-07,3
2-linoleoyl-GPC (18:2)*,1.1465652194419467e-06,7.261965113155447e-07,3
16-hydroxypalmitate,1.1455496036246778e-06,8.429144900574407e-07,2
octadecenedioate (C18:1-DC),1.144885643295574e-06,7.001741692785211e-07,3
methionine sulfone,1.1439744772969552e-06,7.653186308973966e-07,3
3-hydroxyoleoylcarnitine,1.1404463585055598e-06,7.883394783940839e-07,2
oxalate (ethanedioate),1.1394041887559483e-06,7.241454895718827e-07,3
gamma-glutamyltyrosine,1.1378013499039496e-06,7.376406692651684e-07,3
4-methylhexanoylglutamine,1.1377631140645576e-06,8.068795513629929e-07,3
(12 or 13)-methylmyristate (a15:0 or i15:0),1.1328860091183211e-06,7.905022495388005e-07,3
phenylacetylglycine,1.1303703873683162e-06,8.061557198824741e-07,2
O-acetylhomoserine,1.1289173197638047e-06,7.465994522226205e-07,3
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,1.1266834771169372e-06,7.208322815715964e-07,3
picolinoylglycine,1.1262964376208057e-06,7.29891475784004e-07,3
2-hydroxyoctanoate,1.1259158197852027e-06,8.248788047665846e-07,2
N-methyltaurine,1.1258628609626903e-06,7.941473464710114e-07,3
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,1.1226675847955772e-06,6.72575458460155e-07,3
heneicosapentaenoate (21:5n3),1.1163287892762347e-06,6.605889006973837e-07,3
pyruvate,1.1161990033347242e-06,7.241762244518891e-07,2
allantoin,1.1153470794316454e-06,6.722440361968721e-07,3
3-ureidopropionate,1.1149452363320836e-06,7.051687852545211e-07,3
"sphingomyelin (d18:2/24:1, d18:1/24:2)*",1.1134083331297714e-06,6.767873261084083e-07,3
tigloylglycine,1.1100122751270568e-06,7.172018323009474e-07,2
sarcosine,1.109638154170106e-06,7.522014857370603e-07,2
N-acetyltryptophan,1.1088417694501047e-06,6.589338555062582e-07,3
threonate,1.1010921145076452e-06,7.459603057878034e-07,2
"N6,N6,N6-trimethyllysine",1.0992046541159609e-06,6.922800822296214e-07,3
glycerate,1.095178942852645e-06,7.340104071200097e-07,2
alpha-ketoglutarate,1.0942945350124724e-06,7.75232083340074e-07,3
hypoxanthine,1.0938043013532496e-06,7.260718922776082e-07,2
fibrinopeptide A (7-16)*,1.0927188985866132e-06,7.35926415562087e-07,3
octadecadienedioate (C18:2-DC)*,1.0921586539993942e-06,7.392838411807637e-07,3
citrulline,1.0894623551617723e-06,7.604339566428453e-07,3
pantothenate,1.0875182125378775e-06,7.566964006947775e-07,2
hydantoin-5-propionate,1.0854613497664662e-06,7.374695912485773e-07,3
acisoga,1.0755217991908627e-06,6.594158758935013e-07,3
N-acetyl-3-methylhistidine*,1.0751717472347876e-06,7.765804005504014e-07,3
tiglylcarnitine (C5:1-DC),1.074921128086957e-06,7.160178068738897e-07,3
alpha-CMBHC glucuronide,1.0716200221597653e-06,6.339948845028756e-07,3
2-methylserine,1.0701805941380298e-06,7.685051306549017e-07,2
androsterone glucuronide,1.0684182201657055e-06,7.274040144823173e-07,3
lithocholic acid sulfate (2),1.0650148924451446e-06,7.812079290636214e-07,2
ethylmalonate,1.062138027362407e-06,7.159961054864033e-07,3
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),1.0600206897187153e-06,7.093004553714892e-07,3
2-methylcitrate/homocitrate,1.0569710362558266e-06,7.09574217751034e-07,3
citrate,1.0553206669495899e-06,7.456304341126026e-07,3
tyrosine,1.054396764552318e-06,7.027076988917439e-07,2
N-acetylglutamate,1.053043403077259e-06,7.327175380676386e-07,2
N-methylproline,1.0500736829479852e-06,7.382890492036669e-07,3
mannitol/sorbitol,1.0466065530767156e-06,6.600124962506014e-07,3
orotate,1.044771740742755e-06,7.514463178269477e-07,2
vanillylmandelate (VMA),1.0393281894869074e-06,6.442691894927653e-07,3
alpha-ketoglutaramate*,1.0372200815641126e-06,7.515505893720135e-07,2
1-methyl-5-imidazoleacetate,1.0184797045369021e-06,5.984889471861646e-07,3
N-delta-acetylornithine,1.0036472609542596e-06,6.215827827428927e-07,3
galactonate,9.82491777954973e-07,7.479761904255243e-07,2
homovanillate (HVA),9.60232628577362e-07,6.108251186602413e-07,3
pyridoxate,9.437000666550148e-07,6.786215660433984e-07,2
N-formylmethionine,9.192427419422332e-07,6.457893572166554e-07,3
N-acetylserine,9.07033589208155e-07,6.040341692203096e-07,2
pyridoxal,8.790309917989451e-07,6.657786751265452e-07,2
5-hydroxyindoleacetate,8.226215742793038e-07,6.079012425532913e-07,2
N-acetylneuraminate,8.220635946111757e-07,5.522753377234928e-07,2
